"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"3267","Normal/Others","WS/MP838/2024-2025/94496-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Chitta Wadi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3268","Normal/Others","WS/MP838/2024-2025/94499-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Ghodampalli Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3269","Normal/Others","WS/MP838/2024-2025/94502-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Nagoora Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3270","Normal/Others","WS/MP838/2024-2025/94514-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Gunnalli Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3271","Normal/Others","WS/MP838/2024-2025/94522-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Khasampura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3272","Normal/Others","WS/MP838/2024-2025/94525-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kadwada Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3273","Normal/Others","WS/MP838/2024-2025/94527-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Sirsi A Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3274","Normal/Others","WS/MP838/2024-2025/94530-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Aurada S Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3275","Normal/Others","WS/MP838/2024-2025/94532-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Bagadala Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3276","Normal/Others","WS/MP838/2024-2025/94534-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Baapura Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3277","Normal/Others","WS/MP838/2024-2025/94536-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kholara K Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3278","Normal/Others","WS/MP838/2024-2025/94538-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Nijampura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3279","Normal/Others","WS/MP838/2024-2025/94539-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kapalapura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3280","Normal/Others","WS/MP838/2024-2025/94541-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Seekindrapura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3281","Normal/Others","WS/MP838/2024-2025/94550-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Anadurawadi Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3282","Normal/Others","WS/MP838/2024-2025/94552-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Anadura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3283","Normal/Others","WS/MP838/2024-2025/94553-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kanakatta Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3284","Normal/Others","WS/MP838/2024-2025/94555-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hunasagera Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3285","Normal/Others","WS/MP838/2024-2025/94557-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ghataborala Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3286","Normal/Others","WS/MP838/2024-2025/94563-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ghodawadi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3287","Normal/Others","WS/MP838/2024-2025/94566-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Handikera Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3288","Normal/Others","WS/MP838/2024-2025/94575-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Sonakera Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3289","Normal/Others","WS/MP838/2024-2025/94578-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Chandanahalli Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3290","Normal/Others","WS/MP838/2024-2025/94579-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kumarachincholli Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3291","Normal/Others","WS/MP838/2024-2025/94580-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Madaragaon Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3292","Normal/Others","WS/MP838/2024-2025/94581-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Vaddanakera Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3293","Normal/Others","WS/MP838/2024-2025/94582-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Jalasangi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3294","Normal/Others","WS/MP838/2024-2025/94583-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kaparagaon Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3295","Normal/Others","WS/MP838/2024-2025/94827-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Neerna Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3296","Normal/Others","WS/MP838/2024-2025/94828-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Muthangi Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3297","Normal/Others","WS/MP183/2023-2024/94829-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","BLOCK- TUNDLA. GRAM PANCHAYAT TIKRI BYPASS PAR RAKESH YADAV KE GHAR SE PHORAN SINGH KE GHAR TAK INTERLOCKING WORKS . LENGTH= 200 MTRs.  COST=16 LAKH. C/o MANVENDRA SINGH, CONTACT NO.- 7906537257.","03-Feb-2024","1599671","12-Mar-2024"
"3298","Normal/Others","WS/MP838/2024-2025/94830-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Govinda thanda Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3299","Normal/Others","WS/MP838/2024-2025/94831-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Bhadrapura Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3300","Normal/Others","WS/MP838/2024-2025/94833-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to GudiThanda Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3301","Normal/Others","WS/MP838/2024-2025/94834-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Madaragi Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3302","Normal/Others","WS/MP838/2024-2025/94835-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Allura K Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3303","Normal/Others","WS/MP838/2024-2025/94837-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Nimboora Milk Producers Cooperative Society","02-Feb-2024","28800","16-Oct-2024"
"3304","Normal/Others","WS/MP838/2024-2025/94838-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Marakhala Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3305","Normal/Others","WS/MP838/2024-2025/94839-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Hallikheda B Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3306","Normal/Others","WS/MP838/2024-2025/94840-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kandagola Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3307","Normal/Others","WS/MP838/2024-2025/94841-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Shamathabada Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3308","Normal/Others","WS/MP838/2024-2025/94865-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Belakera Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3309","Normal/Others","WS/MP838/2024-2025/94866-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Sirakattanalli Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3310","Normal/Others","WS/MP838/2024-2025/94867-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Benachincholi Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3311","Normal/Others","WS/MP838/2024-2025/94869-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Nandagaon Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3312","Normal/Others","WS/MP838/2024-2025/94870-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Mustari Wadi Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3313","Normal/Others","WS/MP838/2024-2025/94900-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Mustari Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3314","Normal/Others","WS/MP838/2024-2025/94902-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Sindakera Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3315","Normal/Others","WS/MP838/2024-2025/94904-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Hudagi Milk Producers Cooperative Society","02-Feb-2024","21600","16-Oct-2024"
"3316","Normal/Others","WS/MP838/2024-2025/94905-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Fathimapura Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
"3317","Normal/Others","WS/MP838/2024-2025/94907-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Kodambala Milk Producers Cooperative Society","02-Feb-2024","36000","16-Oct-2024"
