"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"18964","Normal/Others","WS/MP155/2026-2027/290280-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
"18965","Normal/Others","WS/MP155/2026-2027/290283-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","18-Aug-2026","1450000","Sanction"
"18966","Normal/Others","WS/MP155/2026-2027/290284-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","18-Aug-2026","1450000","Sanction"
"18967","Normal/Others","WS/MP155/2026-2027/290285-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","18-Aug-2026","1450000","Sanction"
"18968","Normal/Others","WS/MP155/2026-2027/290286-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","18-Aug-2026","1450000","Sanction"
"18969","Normal/Others","WS/MP235/2026-2027/290362-Construction of community centers and community halls","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Community Hall at Valmiki Mandir Gian Ashram Society Valmik Tirath at Village Kaler","30-Jun-2026","08-Jul-2026","1000000","Vendor Identification"
"18970","Normal/Others","WS/MP235/2026-2027/290364-Development of public parks","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Development of Park at Village Hamad","30-Jun-2026","02-Jul-2026","900000","Work partially Completed"
"18971","Normal/Others","WS/MP235/2026-2027/290365-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Verious Streets at Village Karma","30-Jun-2026","02-Jul-2026","700000","Work partially Completed"
"18972","Normal/Others","WS/MP235/2026-2027/290366-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Various Streets at Village Jatala","30-Jun-2026","02-Jul-2026","980000","Work partially Completed"
"18973","Normal/Others","WS/MP235/2026-2027/290367-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Street Main road to Kiyare di Dhani tak at Village Chak Dona Rahime Ke","30-Jun-2026","02-Jul-2026","800000","Work partially Completed"
"18974","Repair and Renovation","WS/MP235/2026-2027/290368-Renovation of ponds and lakes","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Renuvation of Pond at Village Basti Raj Singh","30-Jun-2026","02-Jul-2026","800000","Work partially Completed"
"18975","Normal/Others","WS/MP235/2026-2027/290371-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Street Niranjan Singh  at Village Kutbe Wala","30-Jun-2026","02-Jul-2026","1000000","Work partially Completed"
"18976","Normal/Others","WS/MP235/2026-2027/290372-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Street Tibbi Wali Road to Niranjan Singh di Dhani at Village Basti Assa Singh","30-Jun-2026","02-Jul-2026","700000","Work partially Completed"
"18977","Normal/Others","WS/MP235/2026-2027/290373-Fitting of Sitting RCC Benches in Public Places","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Installation of RCC Bench at Village Malle Wala","30-Jun-2026","02-Jul-2026","500000","Work partially Completed"
"18978","Normal/Others","WS/MP235/2026-2027/290374-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Const. of Streets at Village Lakha Singh Wala Hithar","30-Jun-2026","02-Jul-2026","1000000","Work partially Completed"
"18979","Normal/Others","WS/MP18294/2026-2027/290392-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Temnitoli me Ram Mandir ke pass sabhamandap Nirman Karya","30-Jun-2026","01-Sep-2026","500000","Sanction"
"18980","Normal/Others","WS/MP18334/2026-2027/290423-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC road from Chinnam Sheshaiah house to Panta Lakshumaiah House at Nookinenipalli Habitation of Nookinenipalli Village, Nandalur Mandal","30-Jun-2026","15-Jul-2026","490000","Sanction"
"18981","Normal/Others","WS/MP18334/2026-2027/290424-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC road from Siddam Narasimhulu house to Gudisela Yanadamma house at Nookinenipalli SC Colony of Nookinenipalli Village, Nandalur Mandal","30-Jun-2026","15-Jul-2026","200000","Sanction"
"18982","Normal/Others","WS/MP18334/2026-2027/290425-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing road to Nakkapalli Habitation to burial ground of Nookinenipalli Village, Nandalur Mandal","30-Jun-2026","15-Jul-2026","300000","Sanction"
"18983","Normal/Others","WS/MP18334/2026-2027/290429-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Police Quarters to Burial ground in Vontimitta Village, Vontimitta Mandal","30-Jun-2026","28-Jul-2026","500000","Sanction"
"18984","Normal/Others","WS/MP18334/2026-2027/290430-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC road from Anjaneyulu house to Marama Temple Vontimitta Village, Vontimitta Mandal","30-Jun-2026","28-Jul-2026","600000","Sanction"
"18985","Normal/Others","WS/MP18304/2026-2027/291000-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road GPS Sweera to Jumari","01-Jul-2026","22-Aug-2026","300000","Sanction"
"18986","Normal/Others","WS/MP18349/2026-2027/291134-Construction of water tanks","Jharkhand","SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","Construction of an Overhead Water Tank for Drinking Water Supply at Jetke Tola, Banjhi Santhali Village of Banjhi Santhali Panchayat under Borio Block, Sahibganj District.","01-Jul-2026","29-Aug-2026","600000","Vendor Identification"
"18987","Normal/Others","WS/MP18349/2026-2027/291135-Lighting of public spaces","Jharkhand","SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","Work for the Installation of a High Mast Light at Jetke Tola, Banjhi Santhali Village of Banjhi Santhali Panchayat under Borio Block, Sahibganj District.","01-Jul-2026","29-Aug-2026","400000","Vendor Identification"
"18988","Normal/Others","WS/MP140/2026-2027/291466-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr mobile water tanker","02-Jul-2026","20-Aug-2026","360000","Sanction"
"18989","Normal/Others","WS/MP140/2026-2027/291467-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr mobile water tanker","02-Jul-2026","20-Aug-2026","360000","Sanction"
"18990","Normal/Others","WS/MP140/2026-2027/291468-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr mobile water tanker","02-Jul-2026","01-Sep-2026","300000","Sanction"
"18991","Normal/Others","WS/MP140/2026-2027/291481-Construction of community centers and community halls","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","For Construction of Dharamshala","02-Jul-2026","28-Aug-2026","2500000","Sanction"
"18992","Normal/Others","WS/MP140/2026-2027/291483-Purchase of mobile water tankers","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr mobile water tanker","02-Jul-2026","10-Jul-2026","360000","Vendor Identification"
"18993","Normal/Others","WS/MP140/2026-2027/291484-Purchase of mobile water tankers","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000 ltr mobile water tanker","02-Jul-2026","10-Jul-2026","360000","Vendor Identification"
"18994","Normal/Others","WS/MP18405/2026-2027/291490-Purchase of vans and buses for educational institutions","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","Mini School Bus Purchase for Veliyankode GMUPS(Anakath School),Ward-3 of Veliyankode GP","02-Jul-2026","05-Sep-2026","1640000","Sanction"
"18995","Repair and Renovation","WS/MP18319/2026-2027/291503-Construction of community centers and community halls","Andhra Pradesh","VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Completion of the incomplete construction of community hall at SC colony at Rompalli VIllage","03-Jul-2026","16-Jul-2026","500000","Sanction"
"18996","Normal/Others","WS/MP18319/2026-2027/291504-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Laying of CC Road from R&B road to SC colony at Rompalli Village","03-Jul-2026","13-Aug-2026","500000","Sanction"
"18997","Normal/Others","WS/MP18319/2026-2027/291505-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Laying of CC Road from Chelikani Murali Prasad Palmolive thota to Ituku Batti Road at Rompalle Village","03-Jul-2026","16-Jul-2026","500000","Sanction"
"18998","Normal/Others","WS/MP18319/2026-2027/291506-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Laying of CC Road from Siddavallu thota to Burial Ground at Rompalle Village","03-Jul-2026","16-Jul-2026","200000","Sanction"
"18999","Normal/Others","WS/MP18319/2026-2027/291507-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Laying of CC Road from Pragada Cheruvu Road to Pasarla Eswar Rao House Road at Rompalle Village","03-Jul-2026","16-Jul-2026","300000","Sanction"
"19000","Normal/Others","WS/MP18319/2026-2027/291509-Construction of community centers and community halls","Andhra Pradesh","VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Construction of stage and Ground levelling at ZP High School at Rompalle Village","03-Jul-2026","16-Jul-2026","500000","Sanction"
"19001","Normal/Others","WS/MP18304/2026-2027/291856-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road from Katli to Upper Ghinshana","03-Jul-2026","17-Aug-2026","500000","Sanction"
"19002","Normal/Others","WS/MP891/2026-2027/291979-Construction of community centers and community halls","Gujarat","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Construction of a Community Hall for Public Use at Nichi Mandal Village","04-Jul-2026","14-Aug-2026","2000000","Sanction"
"19003","Normal/Others","WS/MP891/2026-2027/291984-Construction of night shelters for homeless","Gujarat","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Construction of a Rain Basera (Night Shelter) for Public Use at Sanosara Village","04-Jul-2026","01-Aug-2026","500000","Sanction"
"19004","Normal/Others","WS/MP139/2026-2027/292109-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Throwpathy amman koil street at Vizhidhiyur Village in Neravy Commune Panchayat Karaikal","04-Jul-2026","23-Jul-2026","810000","Work partially Completed"
"19005","Normal/Others","WS/MP147/2026-2027/292130-Lighting of public spaces","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the installation of a high-mast light near the Thakur Ji temple in village Pichupada Khurd.","04-Jul-2026","20-Aug-2026","499995","Sanction"
"19006","Normal/Others","WS/MP147/2026-2027/292131-Lighting of public spaces","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the installation of a high-mast light at Dubaldya ka Bas in village Pichupada Khurd.","04-Jul-2026","20-Aug-2026","499995","Sanction"
"19007","Normal/Others","WS/MP147/2026-2027/292133-Lighting of public spaces","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the installation of a high-mast light at Awasthi Dhani in Gram Panchayat Dharanwas.","04-Jul-2026","27-Jul-2026","499998","Time Estimation"
"19008","Normal/Others","WS/MP147/2026-2027/292134-Lighting of public spaces","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the installation of a high-mast light near Dadu Dayal Ashram in Jaun village, Gram Panchayat Dharanwas.","04-Jul-2026","27-Jul-2026","499998","Sanction"
"19009","Normal/Others","WS/MP18452/2026-2027/292267-Construction of community centers and community halls","Odisha","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","Dr. Santrupt Misra (2026-32) (2026-2032)","Elected MP","Construction of Community Centre at Kakudipali under Batemura GP of Maneswar Block","09-Jul-2026","03-Aug-2026","600000","Sanction"
"19010","Normal/Others","WS/MP18452/2026-2027/292268-Construction of community centers and community halls","Odisha","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","Dr. Santrupt Misra (2026-32) (2026-2032)","Elected MP","Construction of Community Centre at Getipada under Ward No. 41 of SMC","09-Jul-2026","03-Aug-2026","600000","Sanction"
"19011","Normal/Others","WS/MP18452/2026-2027/292269-Construction of community centers and community halls","Odisha","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","Dr. Santrupt Misra (2026-32) (2026-2032)","Elected MP","Construction of Community Centre at Ammppada, Kiritpur under Batemura GP of Maneswar Block","09-Jul-2026","03-Aug-2026","600000","Sanction"
"19012","Normal/Others","WS/MP18452/2026-2027/292270-Construction of community centers and community halls","Odisha","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","Dr. Santrupt Misra (2026-32) (2026-2032)","Elected MP","Construction of Community Centre at Sansinghari, Khdiapada under Ward No. 2 of SMC","09-Jul-2026","03-Aug-2026","600000","Sanction"
